
2026/04/04 (20:47:22) | ===> btop++ v.1.4.0
2026/04/04 (20:47:22) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/04 (22:55:49) | ===> btop++ v.1.4.0
2026/04/04 (22:55:49) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (00:21:57) | ===> btop++ v.1.4.0
2026/04/06 (00:21:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:55:18) | ===> btop++ v.1.4.0
2026/04/06 (13:55:18) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:58:50) | ===> btop++ v.1.4.0
2026/04/06 (13:58:50) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:59:17) | ===> btop++ v.1.4.0
2026/04/06 (13:59:17) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (13:59:35) | ===> btop++ v.1.4.0
2026/04/06 (13:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/06 (21:34:57) | ===> btop++ v.1.4.0
2026/04/06 (21:34:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/08 (19:08:52) | ===> btop++ v.1.4.0
2026/04/08 (19:08:52) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/08 (19:21:36) | ===> btop++ v.1.4.0
2026/04/08 (19:21:36) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/08 (23:20:00) | ===> btop++ v.1.4.0
2026/04/08 (23:20:00) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/09 (17:19:50) | ===> btop++ v.1.4.0
2026/04/09 (17:19:50) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/10 (18:53:06) | ===> btop++ v.1.4.0
2026/04/10 (18:53:06) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/10 (23:32:59) | ===> btop++ v.1.4.0
2026/04/10 (23:32:59) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/10 (23:39:27) | ===> btop++ v.1.4.0
2026/04/10 (23:39:27) | WARNING: Intel GPU: Failed to initialize PMU
2026/04/10 (23:42:38) | ERROR: Exception during Config::unlock() : unordered_map::at

2026/04/11 (22:16:21) | ===> btop++ v.1.4.0
2026/04/11 (22:16:21) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/12 (13:47:27) | ===> btop++ v.1.4.0
2026/04/12 (13:47:27) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/12 (21:31:43) | ===> btop++ v.1.4.0
2026/04/12 (21:31:43) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:05:42) | ===> btop++ v.1.4.0
2026/04/13 (21:05:42) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:06:29) | ===> btop++ v.1.4.0
2026/04/13 (21:06:29) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:07:06) | ===> btop++ v.1.4.0
2026/04/13 (21:07:06) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:09:38) | ===> btop++ v.1.4.0
2026/04/13 (21:09:38) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:22:23) | ===> btop++ v.1.4.0
2026/04/13 (21:22:23) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:34:04) | ===> btop++ v.1.4.0
2026/04/13 (21:34:04) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:41:38) | ===> btop++ v.1.4.0
2026/04/13 (21:41:38) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/13 (21:55:34) | ===> btop++ v.1.4.0
2026/04/13 (21:55:34) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/14 (09:22:52) | ===> btop++ v.1.4.0
2026/04/14 (09:22:52) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/15 (08:49:18) | ===> btop++ v.1.4.0
2026/04/15 (08:49:18) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/15 (08:54:03) | ===> btop++ v.1.4.0
2026/04/15 (08:54:03) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/15 (09:11:21) | ===> btop++ v.1.4.0
2026/04/15 (09:11:21) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/15 (15:45:41) | ===> btop++ v.1.4.0
2026/04/15 (15:45:41) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/15 (15:48:16) | ===> btop++ v.1.4.0
2026/04/15 (15:48:16) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/15 (15:49:31) | ===> btop++ v.1.4.0
2026/04/15 (15:49:31) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/17 (20:54:26) | ===> btop++ v.1.4.0
2026/04/17 (20:54:26) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/17 (22:18:58) | ===> btop++ v.1.4.0
2026/04/17 (22:18:58) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/17 (23:06:36) | ===> btop++ v.1.4.0
2026/04/17 (23:06:36) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/23 (20:58:45) | ===> btop++ v.1.4.0
2026/04/23 (20:58:45) | WARNING: Intel GPU: Failed to initialize PMU

2026/04/24 (22:53:59) | ===> btop++ v.1.4.0
2026/04/24 (22:53:59) | WARNING: Intel GPU: Failed to initialize PMU
